time,PWM1,PWM2,PWM Efforts,Joint Angle Current 1,Joint Angle Current 2,Joint Angle Desired 1,Joint Angle Desired 2
1.253207331,0,0,0.0,0,0,0,0
1.263241991,0,0,0.0,0,0,0,0
1.273207676,0,0,0.0,0,0,0,0
1.283061975,0,0,0.0,0,0,0,0
1.29342752,0,0,0.0,0,0,0,0
1.303211679,0,0,0.0,0,0,0,0
1.313319223,0,0,0.0,0,0,0,0
1.323082831,0,0,0.0,0,0,0,0
1.333332644,0,0,0.0,0,0,0,0
1.343218,0,0,0.0,0,0,0,0
1.35328184,0,0,0.0,0,0,0,0
1.363323083,0,0,0.0,0,0,0,0
1.373446251,0,0,0.0,0,0,0,0
1.383184846,0,0,0.0,0,0,0,0
1.393269137,0,0,0.0,0,0,0,0
1.403165269,0,0,0.0,0,0,0,0
1.413226845,0,0,0.0,0,0,0,0
1.423225176,0,0,0.0,0,0,0,0
1.433138764,0,0,0.0,0,0,0,0
1.443354859,0,0,0.0,0,0,0,0
1.453168369,0,0,0.0,0,0,0,0
1.463202088,0,0,0.0,0,0,0,0
1.473159709,0,0,0.0,0,0,0,0
1.483390549,0,0,0.0,0,0,0,0
1.493065987,0,0,0.0,0,0,0,0
1.50317323,0,0,0.0,0,0,0,0
1.513201686,0,0,0.0,0,0,0,0
1.523262527,0,0,0.0,0,0,0,0
1.53313408,0,0,0.0,0,0,0,0
1.543397413,0,0,0.0,0,0,0,0
1.553554037,0,0,0.0,0,0,0,0
1.563189753,0,0,0.0,0,0,0,0
1.573159504,0,0,0.0,0,0,0,0
1.583137353,0,0,0.0,0,0,0,0
1.593317045,0,0,0.0,0,0,0,0
1.603239194,0,0,0.0,0,0,0,0
1.613212203,0,0,0.0,0,0,0,0
1.623098608,0,0,0.0,0,0,0,0
1.63318553,0,0,0.0,0,0,0,0
1.643132008,0,0,0.0,0,0,0,0
1.653300827,0,0,0.0,0,0,0,0
1.663220899,0,0,0.0,0,0,0,0
1.673133495,0,0,0.0,0,0,0,0
1.683175774,0,0,0.0,0,0,0,0
1.69335516,0,0,0.0,0,0,0,0
1.70307269,0,0,0.0,0,0,0,0
1.71321304,0,0,0.0,0,0,0,0
1.723283795,0,0,0.0,0,0,0,0
1.733170755,0,0,0.0,0,0,0,0
1.743319403,0,0,0.0,0,0,0,0
1.753123501,0,0,0.0,0,0,0,0
1.763302624,0,0,0.0,0,0,0,0
1.773239903,0,0,0.0,0,0,0,0
1.783371419,0,0,0.0,0,0,0,0
1.792992155,0,0,0.0,0,0,0,0
1.803333484,0,0,0.0,0,0,0,0
1.813122321,0,0,0.0,0,0,0,0
1.82331281,0,0,0.0,0,0,0,0
1.833135317,0,0,0.0,0,0,0,0
1.84334637,0,0,0.0,0,0,0,0
1.853155619,0,0,0.0,0,0,0,0
1.863247095,0,0,0.0,0,0,0,0
1.873320918,0,0,0.0,0,0,0,0
1.88308485,0,0,0.0,0,0,0,0
1.893268014,0,0,0.0,0,0,0,0
1.9032696,0,0,0.0,0,0,0,0
1.91339319,0,0,0.0,0,0,0,0
1.923122304,0,0,0.0,0,0,0,0
1.933364435,0,0,0.0,0,0,0,0
1.943075818,0,0,0.0,0,0,0,0
1.953177133,0,0,0.0,0,0,0,0
1.963240665,0,0,0.0,0,0,0,0
1.973306237,0,0,0.0,0,0,0,0
1.983153124,0,0,0.0,0,0,0,0
1.993181114,0,0,0.0,0,0,0,0
2.003476001,0,0,0.0,0,0,0,0
2.013287174,0,0,0.0,0,0,0,0
2.023378545,0,0,0.0,0,0,0,0
2.033198205,0,0,0.0,0,0,0,0
2.043292496,0,0,0.0,0,0,0,0
2.053380585,0,0,0.0,0,0,0,0
2.063379971,0,0,0.0,0,0,0,0
2.073406247,0,0,0.0,0,0,0,0
2.083222309,0,0,0.0,0,0,0,0
2.093545184,0,0,0.0,0,0,0,0
