time,PWM1,PWM2,PWM Efforts,Joint Angle Current 1,Joint Angle Current 2,Joint Angle Desired 1,Joint Angle Desired 2,Controller Name
117.6678,-0.21531988151332795,-224.9999855116691,5956936.355033022,0.023326320612818894,47.99999632962287,0.021531988151332795,44.99999710233382,dummy
118.3297,-247.34083666024242,-199.09044971156692,6023669.416444132,27.063497605315824,41.51580931017756,24.73408366602424,39.818089942313385,dummy
118.7583,-295.599429519222,-172.1398231196957,6073819.309661478,32.77970303011834,34.939919433264194,29.5599429519222,34.42796462393914,dummy
119.1365,-294.1087952006577,-142.55102895397846,6114222.182462874,33.279346798399246,27.918596410746865,29.41087952006577,28.510205790795695,dummy
119.4215,-264.9200032563729,-115.90803222185596,6138048.535086786,30.77751010941943,21.773863858717004,26.492000325637292,23.18160644437119,dummy
119.6328,-229.76079958599854,-95.06133620542101,6151110.078276024,27.50790663409298,17.083278517073545,22.976079958599854,19.012267241084203,dummy
119.8355,-186.8171493126042,-74.20878791778863,6159301.3970904425,23.401939648435278,12.49443245220689,18.68171493126042,14.841757583557724,dummy
120.0100,-141.7988687747161,-54.82726050409638,6163335.133574517,19.02916945165254,8.321722144598127,14.179886877471612,10.965452100819276,dummy
120.2211,-83.58859413251344,-31.66073988182667,6165021.64719433,13.309110562891256,3.450951229682631,8.358859413251343,6.332147976365334,dummy
120.6375,38.31821249290647,14.39884403198355,6165719.322867583,1.1579298907737687,-5.855196751942501,-3.8318212492906465,-2.87976880639671,dummy
121.2252,197.37720020956914,79.05727592375861,6192290.827049805,-15.056528491541675,-18.070708177168278,-19.737720020956914,-15.811455184751722,dummy
121.7199,281.5112448057371,128.70018035468894,6239685.160266393,-24.04985917887729,-26.77692656891356,-28.15112448057371,-25.74003607093779,dummy
122.1822,298.28078089398684,167.3873524431367,6293767.096765648,-26.48686708382873,-33.15675632472537,-29.828078089398687,-33.47747048862734,dummy
122.5115,271.80111385958537,189.80652064152451,6329967.329060607,-24.49512940133419,-36.691494910166654,-27.180111385958536,-37.9613041283049,dummy
123.0497,167.83052823635074,215.15895800751966,6370037.452390564,-15.320495822256774,-40.5451691172513,-16.783052823635074,-43.03179160150393,dummy
123.4315,63.57824053453702,223.71865506384364,6390691.79873683,-5.824970854563168,-41.81187482034502,-6.357824053453702,-44.74373101276873,dummy
123.7623,-34.8120895515996,224.6196820483966,6407782.743663986,3.1906170207666698,-41.94420289103959,3.4812089551599597,-44.92393640967932,dummy
124.2625,-173.42941832161924,214.39839606794686,6445819.777469494,15.826231981170405,-40.4317773188921,17.342941832161923,-42.87967921358937,dummy
124.7944,-273.37357284443135,189.04447148772732,6504575.089007766,24.625955861013594,-36.57330174049964,27.337357284443133,-37.808894297545464,dummy
125.4006,-294.8576360771026,143.68676980870316,6569802.66595114,25.638102000586564,-29.290433924044724,29.48576360771026,-28.737353961740634,dummy
125.8114,-248.35046572245852,105.41774222106258,6599703.536611685,20.417790867289472,-22.76646395532524,24.83504657224585,-21.083548444212518,dummy
126.0867,-194.48452883469201,77.71453704354434,6611778.934501642,14.756171291921854,-17.827108976958655,19.4484528834692,-15.542907408708867,dummy
126.6834,-31.52920622394727,11.839856161851328,6612455.679333234,-1.8401520012727994,-5.351357046422612,3.152920622394727,-2.3679712323702655,dummy
127.2571,134.45012016317767,-51.81114930900691,6624367.496107158,-18.31064380924412,7.680380403160814,-13.445012016317767,10.362229861801382,dummy
127.7057,237.7259988955762,-99.36038471632736,6654147.730398857,-28.25865586852526,18.042149364121958,-23.77259988955762,19.872076943265473,dummy
128.3791,299.915480873913,-160.97611266058894,6732169.470286993,-33.48487089997691,32.26642950661434,-29.9915480873913,32.19522253211779,dummy
